"AgeGroup","Parameter","Mean","2.5%","97.5%","n.sample","% accept","n.effective","Geweke.diag","AgeLabel"
15,"rho.slo",0.8971,0.7861,0.9713,50000,41.7,852.6,-0.3,"70–74"
16,"(Intercept)",-2.8249,-2.8479,-2.8017,50000,44.9,3991,0.9,"75–79"
16,"dep_rate",0.0497,-0.0113,0.1099,50000,44.9,3842.6,-1.2,"75–79"
16,"alpha",-0.1161,-0.128,-0.1042,50000,37.6,2092.1,1.1,"75–79"
16,"tau2.int",0.1783,0.1616,0.1961,50000,100,4043.1,-0.2,"75–79"
16,"tau2.slo",0.0561,0.0437,0.0695,50000,100,347.9,2.8,"75–79"
16,"rho.int",0.773,0.6779,0.8624,50000,49.6,2601.2,0.4,"75–79"
16,"rho.slo",0.8727,0.7445,0.9611,50000,41.3,758,-1.4,"75–79"
17,"(Intercept)",-2.3227,-2.3546,-2.2809,50000,17.8,344,-1.8,"80–84"
17,"dep_rate",0.0357,-0.0483,0.1125,50000,17.8,439,2.1,"80–84"
17,"alpha",-0.1034,-0.1162,-0.0904,50000,32,3398.2,-0.4,"80–84"
17,"tau2.int",0.2151,0.1876,0.2451,50000,100,1649.4,2,"80–84"
17,"tau2.slo",0.1295,0.1019,0.1604,50000,100,597.6,1.1,"80–84"
17,"rho.int",0.4394,0.3496,0.5389,50000,40.1,1262.6,1.9,"80–84"
17,"rho.slo",0.3607,0.2184,0.5323,50000,36,324.4,1,"80–84"
18,"(Intercept)",-1.5533,-1.6012,-1.503,50000,9.2,131.2,2.4,"85+"
18,"dep_rate",0.0114,-0.091,0.1216,50000,9.2,134.1,-1.8,"85+"
18,"alpha",-0.1526,-0.1648,-0.1405,50000,33.1,4758,2.1,"85+"
18,"tau2.int",0.2057,0.1797,0.2345,50000,100,1466.9,-1.9,"85+"
18,"tau2.slo",0.1864,0.1487,0.2282,50000,100,513.8,-0.6,"85+"
18,"rho.int",0.1426,0.0983,0.1912,50000,48,1307.3,-2,"85+"
18,"rho.slo",0.1195,0.0532,0.1995,50000,44.8,453.2,-0.3,"85+"
